,Name,Start Date,End Date,Location,Campaign,U.S. Casualties,Result,Opposing Force,latitude,longitude
0,Battle of the Atlantic,"September 13, 1941","May 8, 1945","Sea, Pineleng, Minahasa, Sulawesi Utara",,"Around 18,000 sailors and merchant seamen killed [1][2]",Allied victory,"Germany, Japan (Possibly), Currently unknown",1.42266,124.80663
1,Operation Torch,"November 8, 1942","November 10, 1942",Algeria,North African Campaign,"1,200(479 killed, 720 wounded)[3]",Allied victory,Germany,28.14411377,2.679965933
2,Battle of the Kasserine Pass,"February 19, 1943","February 25, 1943",Kasserine Pass,Tunisia Campaign,"6,500(1,000+ killed)[3][4]; or, 9,195(2,572 killed, 5,946 wounded and 1,012 captured or missing)[5]",Axis tactical victory,Germany and Italy,35.25,8.75
3,Battle of El Guettar,"March 23, 1943","April 7, 1943","Passage d'El Guettar, Bab El Bhar, Tunis",Tunisia Campaign,"~5,000[6]",Indecisive,Germany and Italy,36.7982055,10.1821635
4,Battle of Gela,"July 10, 1943","July 12, 1943","Gela, Caltanissetta",Italian Campaign,"2,300, 1 destroyer sunk[3]",Allied victory,Germany and Italy,37.06816,14.25022
5,Battle of Salerno,"September 9, 1943","September 16, 1943",Salerno,Italian Campaign,"4,870[7]",Allied victory,Germany and Italy,40.67348,14.77125
6,Battle of Monte Cassino,"January 17, 1944","May 18, 1944","Montecassino, Cassino, Frosinone",Italian Campaign,"100,000+ (Total allied casualties)[3]",Allied victory,Germany,41.48911,13.81123
7,Battle of Anzio,"January 22, 1944","June 5, 1944","Nettuno, Roma",Italian Campaign,"23,173(5,538 killed, 15,558 wounded and 2,947 captured or missing)[8]",Allied victory,Germany,41.45897,12.66302
8,Battle of Normandy,"June 6, 1944","July 24, 1944",Normandy,Operation Overlord,"63,360(16,293 killed, 43,221 wounded and 6,180 captured or missing)[8]",Allied victory,Germany,49.12016662,0.110281515
9,Battle for Brest,"August 7, 1944","September 19, 1944",Brittany,Operation Overlord,"~4,000[9]",Allied victory,Germany,48.17736007,-2.844647501
10,Operation Dragoon,"August 15, 1944","September 14, 1944",France,Operation Overlord,"15,574(7,301 killed, 5,804 wounded, 3,098 captured or missing)[5]",Allied victory,Germany,46.55941704,2.550539953
11,Battle of Nancy,"September 5, 1944","September 15, 1944","Nancy, Meurthe-et-Moselle, Grand Est",Siegfried Line campaign,"2,851+[3]",American victory,Germany,48.68954,6.18335
12,Operation Market Garden,"September 17, 1944","September 25, 1944",The Netherlands,Siegfried Line campaign,"3,974[3]",Allied operational failure,Germany,52.24937529,5.616126398
13,Battle of Hürtgen Forest,"September 19, 1944","February 10, 1945",Forest,Siegfried Line campaign,"33,000[3]",German defensive victory,Germany,50.81091,4.31816
14,Battle of Metz,"September 27, 1944","December 13, 1944","Metz, Moselle, Grand Est",Siegfried Line campaign,"2,851+[3]","American tactical victory, German strategic victory",Germany,49.1147,6.17145
15,Battle of Aachen,"October 2, 1944","October 21, 1944","Aachen, Nordrhein-Westfalen",Siegfried Line campaign,"5,000[3]",American victory,Germany,50.77823,6.08864
16,Battle of the Bulge,"December 16, 1944","January 25, 1945","Rue des Ardennes, 6941, Durbuy, Bomal-sur-Ourthe",Siegfried Line campaign,"89,500(19,000 killed, 47,500 wounded, 23,000 missing)[10]",Allied victory,Germany,50.37109811,5.533824343
17,Operation Nordwind,"January 1, 1945","January 25, 1945","Lorraine, Département de Meurthe-et-Moselle, Lorraine",Siegfried Line campaign,"12,000(3,000 killed, 9,000 wounded or missing)[11]",German operational failure,Germany,49,6
18,Colmar Pocket,"January 20, 1945","February 9, 1945","Alsace, Département du Bas-Rhin, Alsace",Siegfried Line campaign,"8,000[3]",Allied victory,Germany,48.5,7.5
19,Ruhr Pocket,"March 7, 1945","April 21, 1945",Ruhr,Western Allied invasion of Germany,,Allied victory,Germany,51.45081,6.72283
20,Operation Varsity,"March 24, 1945",,"Wesel, Nordrhein-Westfalen",Western Allied invasion of Germany,"2,700[3]",Allied victory,Germany,51.65573,6.61684
21,Spring 1945 offensive in Italy,"April 6, 1945","May 2, 1945",Northern,Italian Campaign,"16,258(1,288 killed, 15,453 wounded and 93 missing)[3]",Allied victory,Germany,40.76029,-73.80137
22,Attack on Pearl Harbor,"December 7, 1941",,"Pearl Harbor, Hawaii",,"3,592(2,345 killed and 1,247 wounded)[3]",Japanese tactical victory,Japan,21.35029,-157.94484
